TEMA,asignatura
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Taller huesos craneo y cara- nariz- senos paranasales- Mesa Sectra,Asignatua 4
Religión y hemotransfusión,Asignatura 1
Presentación de protocolos,Asignatura 3
C-SM Regulación de la homeostasis ácido-base corporal 2,Asignatura 6
Taller de metabolismo de lipidos(Bioquimica),Asignatura 3
61. Sistemicas - sepsis - SDRA,Asignatura 10
chequeo semanal,Asignatura 9
Supletorio I corte (Parcial),Asignatura 7
Simposio Bloque Naranja,Asignatura 2
"Unidades, concentraciones y pH ",Asignatura 1
Fisiología materna durante la gestación,Asignatura 7
laboratorio histología de ganglios ,Asignatura 9
Patología de nervio periférico,Asignatura 7
Actividad integradora -dolor,Asignatura 7
Correlación imágenes DX abdomen y pelvis ,Asignatura 7
Estructuras microscópica hígado y vesícula biliar,Asignatura 5
Fisiopatología de los trastornos endocrinos más prevalentes en pediatría,Asignatura 7
Intoxicación aguda por alcohol,Asignatura 1
Taller modificación del balance de líquidos y electrolitos desde la intervención en la función suprarrenal,Asignatura 6
Semiologia cardiaca (Ruidos cardiacos),Asignatura 2
Diabetes tipo 1,Asignatura 4
Comunicación,Asignatura 1
Integración irrigación de abdomen y pelvis,Asignatura 7
Taller Relacion ventilacion perfusión /Equilibrio ácido-base,Asignatura 2
32. Fungicas respiratorias,Asignatura 10
Tutoria 4 Semiologia Neurologica/Musculo-esqueletico,Asignatura 10
Anatomía funcional de intestinos y páncreas,Asignatura 5
Generalidades del procesamiento sensorial,Asignatura 7
Programación Prácticas,Asignatura 2
Organización microscópica del hueso,Asignatura 7
Actividad integradora - demencia,Asignatura 9
Seguimiento de tutores,Asignatura 3
17. Dislipidemia,Asignatura 4
19. Laboratorio de Microbiología - Grupo B,Asignatura 10
DHT,Asignatura 2
Evaluación 1 Biológicas,Asignatura 1
Asma,Asignatura 10
EXAMEN TEÓRICO CMC,Asignatura 9
Caso 11. Sindrome hemorragico/Coagulopatías,Asignatura 10
Gestación adolescente en población desplazada,Asignatura 7
EXAMEN PRÁCTICO HISTOLOGÁ Y ANATOMÍA CMC Y FPC III,Asignatura 9
8. Dolor toracico no coronario,Asignatura 1
Neumonia adquirida en la comunidad - Adultos - Situaciones integradoras,Asignatura 10
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
Abordaje problemas de comportamiento de niños y adolescentes,Asignatura 10
Desarrollo evolutivo del telencéfalo,Asignatura 7
Soporte Vital,Asignatura 2
Pruebas diagnóstica,Asignatura 10
Correlación imágenes DX abdomen y pelvis ,Asignatura 7
10. Valvulopatia/Arritmia,Asignatura 4
SUPLETORIOS,Asignatura 9
01-02. Inmunidad Innata y Adaptativa,Asignatura 9
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
C-SM Trastornos ácido-base 2,Asignatura 6
Debilidad e ictericia / Cirrosis ,Asignatura 5
Miembro inferior 1 ,Asignatura 9
Hemotransfusión,Asignatura 1
Sintesis de grupo Herme,Asignatura 4
Embriología Cardiovascular,Asignatura 1
Pronóstico,Asignatura 10
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
"Lab bioq, Fisio, Microscopia",Asignatura 1
Semiologia cardiaca CSC. Grupo Viernes,Asignatura 2
Examen final PC1,Asignatura 3
Revisiones sistemáticas de la literatura,Asignatura 10
Modificaciones terapéuticas del estilo de vida,Asignatura 10
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 4
Examen final práctico CMC,Asignatura 9
Condiciones relacionadas con el consumo de alcohol,Asignatura 10
Escenarios Simulados con Debriefing,Asignatura 10
Patología de organos de los sentidos,Asignatura 9
Reunión con tutores,Asignatura 3
Evaluación radiologica del tórax,Asignatura 2
"ESM-EVALUACIÓN FINAL SYM II 
(9-12m)",Asignatura 7
Tutorías Clínica Grupo Jueves,Asignatura 2
C-SM Estructuras y mecanismos involucrados en la micción 2,Asignatura 6
EXAMEN TEÓRICO CMC,Asignatura 9
Patología benigna de la tiroides,Asignatua 4
Embarazo y procesos adaptativos al embarazo,Asignatura 10
Experimentos clínicos,Asignatura 7
30. NAC Bacterianas,Asignatura 10
Aspectos generales en la quimioterapia antimicrobiana,Asignatura 10
1a Evaluación sustentación integradoras grupal,Asignatura 5
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
Ética médica y riesgo,Asignatura 7
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
Semiología neurológica del II par y oculomotores,Asignatura 9
Taller: Gasto Cardiaco,Asignatura 1
Estrcutura del sistema nervioso central,Asignatura 1
Mantenimiento de la salud - Inmunizaciones y SSR,Asignatura 10
Reunión con tutores,Asignatura 3
Respuesta Metabólica al trauma,Asignatura 2
C-SM Bioquímica Clínica de la fisiología ósea,Asignatura 7
Anatomía de oído externo y medio,Asignatura 7
Sistemas reproductores femenino y masculino (2110),Asignatura 7
Miembro inferior 4,Asignatura 9
Herida Cervical,Asignatura 3
Seguimiento de tutores,Asignatura 3
Presentación de protocolos,Asignatura 3
Anfiteatro Sistemas reproductores  ,Asignatura 7
Mantenimiento de la salud - Situaciones integradoras,Asignatura 10
Supletorio Eval 1 SYM2 y S. Escrita integradoras M1,Asignatura 6
Soporte Vital,Asignatura 2
EVALI,Asignatua 4
Manejo renal de solutos,Asignatura 6
Examen final teórico CMC,Asignatura 9
Hematemesis/ Enf. Ulcerosa- péptica,Asignatura 4
Actividad física,Asignatura 2
Presentación Programa RMP,Asignatura 9
Reunión con tutores,Asignatura 3
Primer examen,Asignatura 10
C-SM Seguridad de los fármacos: Reacciones Adversas a Medicamentos,Asignatura 6
Reunión con tutores,Asignatura 3
Taller morfofuncional y laboratorio de hipófisis,Asignatura 9
Anatomía del páncreas y duodeno,Asignatura 7
Taller de exploración psicopatológica 3: Afecto,Asignatura 9
Edema/ Enfermedad renal diabética,Asignatura 6
Diabtes mellitus - Situaciones integradoras,Asignatura 10
El género y su relación con la vulnerabilidad,Asignatura 9
Mecanismos para modificar la motilidad gastrointestinal. ,Asignatura 5
Taller sondas vesicales,Asignatura 7
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Semiologia cardiaca CSC. Grupo Jueves ,Asignatura 2
Cuidado de la casa común,Asignatura 2
Introducción a la medicina basada en la evidencia y pregunta PICO,Asignatura 10
Abordaje Integrado del Cáncer de Próstata,Asignatura 7
C-SM Organización microscópica y función del hígado y la vesícula biliar II,Asignatura 5
Histología funcional intestinal,Asignatura 5
Examen teórico CMC,Asignatura 9
50. Laboratorio Uroanálisis - Grupo A,Asignatura 10
Conducta adictiva: bases biológicas y psicopatología ,Asignatura 9
Taller Sistema cardiorespiratorio y su contexto,Asignatura 3
La historia clínica en cuidado primario,Asignatura 10
Regulación de la fecundidad. Consejería,Asignatura 10
 Evaluación final Práctica Sistemas y Metabolismo I,Asignatura 3
Semiología Osteomuscular 3 (miembro Inferior),Asignatura 9
"C-SM Depuración renal, hemodinámica renal y filtración glomerular",Asignatura 6
Examen final teórico FPC III,Asignatura 9
Semiología Urología,Asignatura 10
Evaluación del crecimiento y el desarrollo puberal,Asignatura 7
"Disfagia /  Trastorno de la motilidad gastrointestinal
",Asignatura 5
EXAMEN PRÁCTICO HISTOLOGÁ Y ANATOMÍA CMC Y FPC III,Asignatura 9
Sistema cardionector,Asignatura 1
Intervenciones no farmacológicas en adultos mayores (Centro de simulación),Asignatura 10
El paciente geriátrico,Asignatura 7
Enfermedad renal crónica - Situaciones integradoras,Asignatura 10
Seguimiento de tutores,Asignatura 3
14.Deficiencia Piruvato carboxilasa                 ,Asignatura 4
Revisiones sistemáticas de la literatura,Asignatura 10
Tutoria 1 Semiologia General/Cabeza y Cuello,Asignatura 10
Tutoria 2 Semiologia Cardiovascular/Respiratorio,Asignatura 10
